area	type	diversity	ext	mean	desv1	desv2
ma	land	functional	61	0.021737389	NA	NA
ma	land	functional	67	0.020938538	NA	NA
ma	land	functional	72	0.006788617	NA	NA
ma	land	functional	78	0.0067896	NA	NA
ma	climate	phy	0	0.005122556	NA	NA
ma	climate	phy	6	0.005004408	NA	NA
ma	climate	phy	11	0.005094272	NA	NA
ma	climate	phy	17	0.005492997	NA	NA
ma	climate	phy	22	0.005714408	NA	NA
ma	climate	phy	28	0.006330601	NA	NA
ma	climate	phy	33	0.006407304	NA	NA
ma	climate	phy	39	0.007095199	NA	NA
ma	climate	phy	44	0.007076147	NA	NA
ma	climate	phy	50	0.007219872	NA	NA
ma	climate	phy	56	0.007105076	NA	NA
ma	climate	phy	61	0.007922936	NA	NA
ma	climate	phy	67	0.007759289	NA	NA
ma	climate	phy	72	0.007222681	NA	NA
ma	climate	phy	78	0.008395869	NA	NA
ma	land	phy	0	0.005122556	NA	NA
ma	land	phy	6	0.005367976	NA	NA
ma	land	phy	11	0.005223418	NA	NA
ma	land	phy	17	0.005358506	NA	NA
ma	land	phy	22	0.005469092	NA	NA
ma	land	phy	28	0.005863827	NA	NA
ma	land	phy	33	0.005846875	NA	NA
ma	land	phy	39	0.005104468	NA	NA
ma	land	phy	44	0.005334111	NA	NA
ma	land	phy	50	0.006119301	NA	NA
ma	land	phy	56	0.005770777	NA	NA
ma	land	phy	61	0.006353183	NA	NA
ma	land	phy	67	0.007332799	NA	NA
ma	land	phy	72	0.007297266	NA	NA
ma	land	phy	78	0.008395869	NA	NA
cerrado	climate	interaction	0	0.2015737	NA	NA
cerrado	climate	interaction	5	0.189251912	NA	NA
cerrado	climate	interaction	11	0.198433972	NA	NA
cerrado	climate	interaction	16	0.189213463	NA	NA
cerrado	climate	interaction	21	0.188819792	NA	NA
cerrado	climate	interaction	26	0.189405343	NA	NA
cerrado	climate	interaction	32	0.169132588	NA	NA
cerrado	climate	interaction	37	0.135510834	NA	NA
cerrado	climate	interaction	42	0.132096116	NA	NA
cerrado	climate	interaction	47	0.123135628	NA	NA
cerrado	climate	interaction	53	0.12158156	NA	NA
cerrado	climate	interaction	58	0.092818265	NA	NA
cerrado	climate	interaction	63	0.080067423	NA	NA
cerrado	climate	interaction	68	0.049790633	NA	NA
cerrado	climate	interaction	74	0.039113988	NA	NA
cerrado	climate	interaction	79	NA	NA	NA
cerrado	land	interaction	0	0.1893594	NA	NA
cerrado	land	interaction	5	0.1854114	NA	NA
cerrado	land	interaction	11	0.1793494	NA	NA
cerrado	land	interaction	16	0.1675387	NA	NA
cerrado	land	interaction	21	0.1749704	NA	NA
cerrado	land	interaction	26	0.1711763	NA	NA
cerrado	land	interaction	32	0.1612793	NA	NA
cerrado	land	interaction	37	0.136726	NA	NA
cerrado	land	interaction	42	0.1283032	NA	NA
cerrado	land	interaction	47	0.1203374	NA	NA
cerrado	land	interaction	53	0.117885	NA	NA
cerrado	land	interaction	58	0.09003775	NA	NA
cerrado	land	interaction	63	0.08531907	NA	NA
cerrado	land	interaction	68	0.04055202	NA	NA
cerrado	land	interaction	74	0.03701263	NA	NA
cerrado	land	interaction	79	NA	NA	NA
cerrado	climate	functional	0	0.0483203	NA	NA
cerrado	climate	functional	5	0.048059743	NA	NA
cerrado	climate	functional	11	0.065498941	NA	NA
cerrado	climate	functional	16	0.065184992	NA	NA
cerrado	climate	functional	21	0.064560442	NA	NA
cerrado	climate	functional	26	0.064226754	NA	NA
cerrado	climate	functional	32	0.064746723	NA	NA
cerrado	climate	functional	37	0.064026642	NA	NA
cerrado	climate	functional	42	0.063354865	NA	NA
cerrado	climate	functional	47	0.055486701	NA	NA
cerrado	climate	functional	53	0.046764329	NA	NA
cerrado	climate	functional	58	0.047661075	NA	NA
cerrado	climate	functional	63	0.045212013	NA	NA
